n_instances,n_features,n_classes,dimensionality,mean_mean,mean_std,mean_min,mean_max,std_mean,std_std,std_min,std_max,skewness_mean,skewness_std,kurtosis_mean,kurtosis_std,correlation_mean,correlation_std,correlation_max,class_entropy,class_imbalance_ratio,min_class_size,max_class_size,mutual_info_mean,mutual_info_max,mutual_info_min,missing_values,missing_ratio,unique_ratio_mean,unique_ratio_std,landmark_simple,dataset_id,dataset_name,best_algorithm
898,6,5,0.0066815144766146995,348.50426818856744,496.1838129287597,1.1985489977728296,1263.0946547884187,404.94760940835494,669.8833581130935,0.8707230632896031,1870.3568353354156,2.0235951904604375,1.3345995367798686,4.615510799294532,5.880869964748729,0.06957440526362282,0.05918476524446215,0.20363146905661803,0.8247299827628457,76.0,8,684,0.15163181869189393,0.3284951805723979,0.041100164970615305,0,0.0,0.030994803266518187,0.02597637505050868,0.5,2,anneal,RandomForest
68,279,11,4.102941176470588,10.9241513809825,32.62009890430171,-26.9470588235294,369.5,9.495700987467714,15.333815384311668,0.0,127.96168192674904,1.6164543377453966,3.3308503052308067,14.117458036191808,21.075241335351397,,,,1.911177189005825,20.0,0,20,0.12256302318523897,0.6108302877741272,0.0,0,0.0,0.29316888045540795,0.3166432632713103,0.5,5,arrhythmia,LogisticRegression
148,3,4,0.02027027027027027,2.045045045045045,0.6979293292245534,1.0608108108108107,2.6013513513513513,1.0149559251513611,0.660064406160608,0.3124954345904639,1.8985765110851145,2.302843497950819,2.2089852224452384,9.51243757778091,13.58201658473605,0.22635063219960502,0.17212937275485646,0.4434948730024639,0.850961199111149,27.0,2,81,0.1524761935122864,0.17029852403026235,0.1337119701290872,0,0.0,0.033783783783783786,0.014596262834251939,0.5,10,lymph,LogisticRegression
625,4,3,0.0064,3.0,0.0,3.0,3.0,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,0.0,0.0,-1.3,0.0,0.0,0.0,0.0,0.9136485598712407,5.76,49,288,0.08065580377810855,0.10611824999248087,0.06149592277639271,0,0.0,0.008,0.0,0.5,11,balance-scale,LogisticRegression
2000,216,10,0.108,318.27038888888893,345.9416138553434,6.7675,1141.5705,49.56891630585682,46.067068735321286,1.9849886019823912,153.47319869524452,0.027539842208265868,0.42430363255864145,-0.3173992823351919,0.5386174047894501,0.24847039375657828,0.19713842977046947,1.0,2.3025850929940455,200.0,0,200,0.4311952265559441,0.9445422119810614,0.0769927359601299,0,0.0,0.1073611111111111,0.09555961716174236,0.5,12,mfeat-factors,LogisticRegression
2000,76,10,0.038,0.13203208401769734,0.06801141061294455,0.07169202571999997,0.3773105717500004,0.06709117258131884,0.03187941507134614,0.03754610886870402,0.17618660745568726,0.5442920729323076,0.247355462395981,0.11571047255824868,0.6327234398532969,0.14397104642890324,0.10415438555477219,0.6788287919693008,2.3025850929940455,200.0,0,200,0.1924188140095499,0.75124374751412,0.012150280264859425,0,0.0,0.996796052631579,0.0010361163302744984,0.5,14,mfeat-fourier,LogisticRegression
683,9,2,0.013177159590043924,3.1483650561249394,0.7068910827920223,1.603221083455344,4.44216691068814,2.7580930034993383,0.5231525037439649,1.7314052526140615,3.641188645187717,1.463669706824747,0.7823013714099821,1.6028727370357005,3.825193192925911,0.5350571605090879,0.22545602587752492,0.9072282331914421,0.6474013095978196,1.85,239,444,0.3622392107424127,0.491546441855629,0.14169785249123223,0,0.0,0.014478607450789003,0.0004601313038467854,0.5,15,breast-w,KNN
2000,64,10,0.032,0.053084739246640485,0.7336596085632937,-1.8197072740500007,2.8911711242899973,2.152124595707967,1.362608750674709,0.8921209999435658,7.689382115616411,-0.004282447690911464,0.16329095297331866,-0.04853928925520608,0.2517017270340115,0.10552545876703007,0.08375521588889473,0.5705439115190474,2.3025850929940455,200.0,0,200,0.18229572378504574,0.7066694553457937,0.027183033696591696,0,0.0,0.9969765625,0.00010568554108177495,0.5,16,mfeat-karhunen,LogisticRegression
2000,6,10,0.003,1052.6997316402803,2282.6120038124195,0.4925,6155.200435156572,630.7493360226143,1397.9935644568736,0.29124287916015545,3756.694940934403,0.5311684258700239,0.33467374888151463,-0.5378957691470795,0.37720708791365487,0.47729777940941553,0.35476796262867827,0.9726097945133866,2.3025850929940455,200.0,0,200,0.866899690978452,1.1795075061405136,0.5673475529915315,0,0.0,0.45891666666666664,0.4571293960381701,0.5,18,mfeat-morphological,LogisticRegression
2000,240,10,0.12,3.0267375,1.1345299686847192,0.175,5.2765,2.447049021985966,0.39329116472088654,0.6901992465947713,2.8876937164456944,-0.03431377096822206,0.9673278927942778,-0.8166084206523742,1.898244879880207,0.17138310844182392,0.158639852153486,0.9393806036251459,2.3025850929940455,200.0,0,200,0.22726325757640128,0.4634138360561435,0.02831572368056623,0,0.0,0.0034333333333333347,0.00024523231615936937,0.5,20,mfeat-pixel,LogisticRegression
